Year,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason
2001,Arrivals,Taipei,353,number,Number of flights,
2001,Arrivals,Port Vila,110,number,Number of flights,
2001,Arrivals,Vancouver,18,number,Number of flights,
2001,Arrivals,Total all overseas ports,22180,number,Number of flights,
2001,Departures,Adelaide,5,number,Number of flights,
2001,Departures,Apia,444,number,Number of flights,
2001,Departures,Beijing,17,number,Number of flights,
2001,Departures,Bangkok,460,number,Number of flights,
2001,Departures,Brisbane,3244,number,Number of flights,
2001,Departures,Bandar Seri Begawan,0,number,Number of flights,
2001,Departures,Guangzhou,0,number,Number of flights,
2001,Departures,Cairns,52,number,Number of flights,
2001,Departures,Denpasar,162,number,Number of flights,
2001,Departures,Dubai,0,number,Number of flights,
2001,Departures,Buenos Aires,172,number,Number of flights,
2001,Departures,Hong Kong,710,number,Number of flights,
2001,Departures,Honolulu,422,number,Number of flights,
2001,Departures,Osaka,408,number,Number of flights,
2001,Departures,Kuala Lumpur,337,number,Number of flights,
2001,Departures,Los Angeles,1925,number,Number of flights,
2001,Departures,London,379,number,Number of flights,
2001,Departures,Melbourne,3978,number,Number of flights,
2001,Departures,Nadi,1195,number,Number of flights,
2001,Departures,Nagoya,206,number,Number of flights,
2001,Departures,Noumea,236,number,Number of flights,
2001,Departures,Tokyo,299,number,Number of flights,
2001,Departures,Coolangatta,213,number,Number of flights,
2001,Departures,Perth,232,number,Number of flights,
2001,Departures,Papeete,455,number,Number of flights,
2001,Departures,Rarotonga,428,number,Number of flights,
2001,Departures,Santiago,0,number,Number of flights,
2001,Departures,Seoul,372,number,Number of flights,
2001,Departures,San Francisco,1,number,Number of flights,
2001,Departures,Shanghai,17,number,Number of flights,
2001,Departures,Singapore,1015,number,Number of flights,
2001,Departures,Sydney,6776,number,Number of flights,
2001,Departures,Tonga,312,number,Number of flights,
2001,Departures,Taipei,394,number,Number of flights,
2001,Departures,Port Vila,116,number,Number of flights,
2001,Departures,Vancouver,19,number,Number of flights,
2001,Departures,Total all overseas ports,22981,number,Number of flights,
2001,Total,Adelaide,9,number,Number of flights,
2001,Total,Apia,885,number,Number of flights,
2001,Total,Beijing,34,number,Number of flights,
2001,Total,Bangkok,826,number,Number of flights,
2001,Total,Brisbane,6323,number,Number of flights,
2001,Total,Bandar Seri Begawan,0,number,Number of flights,
2001,Total,Guangzhou,0,number,Number of flights,
2001,Total,Cairns,105,number,Number of flights,
2001,Total,Denpasar,317,number,Number of flights,
2001,Total,Dubai,0,number,Number of flights,
2001,Total,Buenos Aires,340,number,Number of flights,
2001,Total,Hong Kong,1324,number,Number of flights,
2001,Total,Honolulu,857,number,Number of flights,
2001,Total,Osaka,880,number,Number of flights,
2001,Total,Kuala Lumpur,628,number,Number of flights,
2001,Total,Los Angeles,3661,number,Number of flights,
2001,Total,London,743,number,Number of flights,
2001,Total,Melbourne,7826,number,Number of flights,
2001,Total,Nadi,2318,number,Number of flights,
2001,Total,Nagoya,371,number,Number of flights,
2001,Total,Noumea,454,number,Number of flights,
2001,Total,Tokyo,698,number,Number of flights,
2001,Total,Coolangatta,426,number,Number of flights,
2001,Total,Perth,397,number,Number of flights,
2001,Total,Papeete,894,number,Number of flights,
2001,Total,Rarotonga,811,number,Number of flights,
2001,Total,Santiago,0,number,Number of flights,
2001,Total,Seoul,736,number,Number of flights,
2001,Total,San Francisco,1,number,Number of flights,
2001,Total,Shanghai,34,number,Number of flights,
2001,Total,Singapore,1957,number,Number of flights,
2001,Total,Sydney,13414,number,Number of flights,
2001,Total,Tonga,637,number,Number of flights,
2001,Total,Taipei,747,number,Number of flights,
2001,Total,Port Vila,226,number,Number of flights,
2001,Total,Vancouver,37,number,Number of flights,
2001,Total,Total all overseas ports,45161,number,Number of flights,
2002,Arrivals,Adelaide,1,number,Number of flights,
2002,Arrivals,Apia,442,number,Number of flights,
2002,Arrivals,Beijing,0,number,Number of flights,
2002,Arrivals,Bangkok,451,number,Number of flights,
2002,Arrivals,Brisbane,2890,number,Number of flights,
2002,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
2002,Arrivals,Guangzhou,0,number,Number of flights,
