Month,Direction of flight,Overseas port,Value,Value Unit,Value Label,Null Reason,Metadata 1
1997-12,Total,Dubai,0,number,Number of flights,
1997-12,Total,Buenos Aires,26,number,Number of flights,
1997-12,Total,Hong Kong,81,number,Number of flights,
1997-12,Total,Honolulu,93,number,Number of flights,
1997-12,Total,Osaka,60,number,Number of flights,
1997-12,Total,Kuala Lumpur,29,number,Number of flights,
1997-12,Total,Los Angeles,295,number,Number of flights,
1997-12,Total,London,57,number,Number of flights,
1997-12,Total,Melbourne,345,number,Number of flights,
1997-12,Total,Nadi,229,number,Number of flights,
1997-12,Total,Nagoya,31,number,Number of flights,
1997-12,Total,Noumea,26,number,Number of flights,
1997-12,Total,Tokyo,55,number,Number of flights,
1997-12,Total,Coolangatta,18,number,Number of flights,
1997-12,Total,Perth,27,number,Number of flights,
1997-12,Total,Papeete,46,number,Number of flights,
1997-12,Total,Rarotonga,32,number,Number of flights,
1997-12,Total,Santiago,4,number,Number of flights,
1997-12,Total,Seoul,129,number,Number of flights,
1997-12,Total,San Francisco,0,number,Number of flights,
1997-12,Total,Shanghai,0,number,Number of flights,
1997-12,Total,Singapore,167,number,Number of flights,
1997-12,Total,Sydney,845,number,Number of flights,
1997-12,Total,Tonga,58,number,Number of flights,
1997-12,Total,Taipei,80,number,Number of flights,
1997-12,Total,Port Vila,8,number,Number of flights,
1997-12,Total,Vancouver,19,number,Number of flights,
1997-12,Total,Total,3074,number,Number of flights,
1998-01,Arrivals,Adelaide,0,number,Number of flights,
1998-01,Arrivals,Apia,53,number,Number of flights,
1998-01,Arrivals,Beijing,0,number,Number of flights,
1998-01,Arrivals,Bangkok,13,number,Number of flights,
1998-01,Arrivals,Brisbane,211,number,Number of flights,
1998-01,Arrivals,Bandar Seri Begawan,0,number,Number of flights,
1998-01,Arrivals,Guangzhou,0,number,Number of flights,
1998-01,Arrivals,Cairns,16,number,Number of flights,
1998-01,Arrivals,Denpasar,13,number,Number of flights,
1998-01,Arrivals,Dubai,0,number,Number of flights,
1998-01,Arrivals,Buenos Aires,14,number,Number of flights,
1998-01,Arrivals,Hong Kong,37,number,Number of flights,
1998-01,Arrivals,Honolulu,55,number,Number of flights,
1998-01,Arrivals,Osaka,30,number,Number of flights,
1998-01,Arrivals,Kuala Lumpur,13,number,Number of flights,
1998-01,Arrivals,Los Angeles,146,number,Number of flights,
1998-01,Arrivals,London,26,number,Number of flights,
1998-01,Arrivals,Melbourne,175,number,Number of flights,
1998-01,Arrivals,Nadi,112,number,Number of flights,
1998-01,Arrivals,Nagoya,14,number,Number of flights,
1998-01,Arrivals,Noumea,15,number,Number of flights,
1998-01,Arrivals,Tokyo,21,number,Number of flights,
1998-01,Arrivals,Coolangatta,9,number,Number of flights,
1998-01,Arrivals,Perth,14,number,Number of flights,
1998-01,Arrivals,Papeete,23,number,Number of flights,
1998-01,Arrivals,Rarotonga,14,number,Number of flights,
1998-01,Arrivals,Santiago,0,number,Number of flights,
1998-01,Arrivals,Seoul,53,number,Number of flights,
1998-01,Arrivals,San Francisco,0,number,Number of flights,
1998-01,Arrivals,Shanghai,0,number,Number of flights,
1998-01,Arrivals,Singapore,76,number,Number of flights,
1998-01,Arrivals,Sydney,420,number,Number of flights,
1998-01,Arrivals,Tonga,29,number,Number of flights,
1998-01,Arrivals,Taipei,38,number,Number of flights,
1998-01,Arrivals,Port Vila,5,number,Number of flights,
1998-01,Arrivals,Vancouver,9,number,Number of flights,
1998-01,Arrivals,Total,1516,number,Number of flights,
1998-01,Departures,Adelaide,0,number,Number of flights,
1998-01,Departures,Apia,58,number,Number of flights,
1998-01,Departures,Beijing,0,number,Number of flights,
1998-01,Departures,Bangkok,16,number,Number of flights,
1998-01,Departures,Brisbane,233,number,Number of flights,
1998-01,Departures,Bandar Seri Begawan,0,number,Number of flights,
1998-01,Departures,Guangzhou,0,number,Number of flights,
1998-01,Departures,Cairns,16,number,Number of flights,
1998-01,Departures,Denpasar,14,number,Number of flights,
1998-01,Departures,Dubai,0,number,Number of flights,
1998-01,Departures,Buenos Aires,13,number,Number of flights,
1998-01,Departures,Hong Kong,46,number,Number of flights,
1998-01,Departures,Honolulu,42,number,Number of flights,
1998-01,Departures,Osaka,31,number,Number of flights,
1998-01,Departures,Kuala Lumpur,13,number,Number of flights,
1998-01,Departures,Los Angeles,159,number,Number of flights,
1998-01,Departures,London,30,number,Number of flights,
1998-01,Departures,Melbourne,167,number,Number of flights,
1998-01,Departures,Nadi,116,number,Number of flights,
1998-01,Departures,Nagoya,20,number,Number of flights,
1998-01,Departures,Noumea,17,number,Number of flights,
1998-01,Departures,Tokyo,28,number,Number of flights,
1998-01,Departures,Coolangatta,9,number,Number of flights,
1998-01,Departures,Perth,13,number,Number of flights,
1998-01,Departures,Papeete,25,number,Number of flights,
1998-01,Departures,Rarotonga,19,number,Number of flights,
1998-01,Departures,Santiago,5,number,Number of flights,
1998-01,Departures,Seoul,52,number,Number of flights,
1998-01,Departures,San Francisco,0,number,Number of flights,
1998-01,Departures,Shanghai,0,number,Number of flights,
1998-01,Departures,Singapore,71,number,Number of flights,
1998-01,Departures,Sydney,419,number,Number of flights,
1998-01,Departures,Tonga,29,number,Number of flights,
1998-01,Departures,Taipei,43,number,Number of flights,
1998-01,Departures,Port Vila,5,number,Number of flights,
1998-01,Departures,Vancouver,10,number,Number of flights,
1998-01,Departures,Total,1569,number,Number of flights,
1998-01,Total,Adelaide,0,number,Number of flights,
1998-01,Total,Apia,111,number,Number of flights,
1998-01,Total,Beijing,0,number,Number of flights,
1998-01,Total,Bangkok,29,number,Number of flights,
1998-01,Total,Brisbane,444,number,Number of flights,
